author,title,pages,year,booktitle,ee,crossref,url,genre
"['Wasim Said', 'Jochen Quante', 'Rainer Koschke']",Towards Understandable Guards of Extracted State Machines from Embedded Software.,['264-274'],2019,SANER,['https://doi.org/10.1109/SANER.2019.8667983'],['conf/wcre/2019'],['db/conf/wcre/saner2019.html#SaidQK19'],inproceedings
"['Bernhard Dorninger', 'Michael Moser', 'Albin Kern']","Reengineering an industrial HMI: Approach, objectives, and challenges.",['547-551'],2018,SANER,"['https://doi.org/10.1109/SANER.2018.8330257', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2018.8330257']",['conf/wcre/2018'],['db/conf/wcre/saner2018.html#DorningerMK18'],inproceedings
"['Kanako Kina', 'Masateru Tsunoda', 'Hideaki Hata', 'Haruaki Tamada', 'Hiroshi Igaki']",Analyzing the Decision Criteria of Software Developers Based on Prospect Theory.,['644-648'],2016,SANER,"['https://doi.org/10.1109/SANER.2016.115', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2016.115']",['conf/wcre/2016'],['db/conf/wcre/saner2016.html#KinaTHTI16'],inproceedings
"['Brent van Bladel', 'Alessandro Murgia', 'Serge Demeyer']",An empirical study of clone density evolution and developer cloning tendency.,['551-552'],2017,SANER,"['https://doi.org/10.1109/SANER.2017.7884672', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2017.7884672']",['conf/wcre/2017'],['db/conf/wcre/saner2017.html#BladelMD17'],inproceedings
"['Sarah Fakhoury', 'Venera Arnaoudova', 'Cedric Noiseux', 'Foutse Khomh', 'Giuliano Antoniol']",Keep it simple: Is deep learning good for linguistic smell detection?,['602-611'],2018,SANER,"['https://doi.org/10.1109/SANER.2018.8330265', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2018.8330265']",['conf/wcre/2018'],['db/conf/wcre/saner2018.html#FakhouryANKA18'],inproceedings
"['Sajeda Parveen', 'Manar H. Alalfi']",A Mutation Framework for Evaluating Security Analysis Tools in IoT Applications.,['587-591'],2020,SANER,['https://doi.org/10.1109/SANER48275.2020.9054853'],['conf/wcre/2020'],['db/conf/wcre/saner2020.html#ParveenA20'],inproceedings
['Peter Gromov'],Compilers are sprinters - IDEs are marathoners (keynote).,['3'],2018,SANER,"['https://doi.org/10.1109/SANER.2018.8330191', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2018.8330191']",['conf/wcre/2018'],['db/conf/wcre/saner2018.html#Gromov18'],inproceedings
"['Yutian Tang', 'Hareton Leung']",StiCProb: A novel feature mining approach using conditional probability.,['45-55'],2017,SANER,"['https://doi.org/10.1109/SANER.2017.7884608', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2017.7884608']",['conf/wcre/2017'],['db/conf/wcre/saner2017.html#TangL17'],inproceedings
"['Eleni Constantinou', 'Tom Mens']",Socio-technical evolution of the Ruby ecosystem in GitHub.,['34-44'],2017,SANER,"['https://doi.org/10.1109/SANER.2017.7884607', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2017.7884607']",['conf/wcre/2017'],['db/conf/wcre/saner2017.html#ConstantinouM17'],inproceedings
"['Ariel Afonso', 'Altigran Soares da Silva', 'Tayana Conte', 'Paulo Martins 0005', 'João M. B. Cavalcanti', 'Alessandro Garcia 0001']",LESSQL: Dealing with Database Schema Changes in Continuous Deployment.,['138-148'],2020,SANER,['https://doi.org/10.1109/SANER48275.2020.9054796'],['conf/wcre/2020'],['db/conf/wcre/saner2020.html#AfonsoSCMCG20'],inproceedings
"['Michiel Overeem', 'Marten Spoor', 'Slinger Jansen']",The dark side of event sourcing: Managing data conversion.,['193-204'],2017,SANER,"['https://doi.org/10.1109/SANER.2017.7884621', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2017.7884621']",['conf/wcre/2017'],['db/conf/wcre/saner2017.html#OvereemSJ17'],inproceedings
"['Patrick Neubauer', 'Robert Bill', 'Manuel Wimmer']",Modernizing domain-specific languages with XMLText and IntellEdit.,['565-566'],2017,SANER,"['https://doi.org/10.1109/SANER.2017.7884679', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2017.7884679']",['conf/wcre/2017'],['db/conf/wcre/saner2017.html#NeubauerBW17'],inproceedings
"['Davide Pizzolotto', 'Roberto Fellin', 'Mariano Ceccato']",OBLIVE: Seamless Code Obfuscation for Java Programs and Android Apps.,['629-633'],2019,SANER,['https://doi.org/10.1109/SANER.2019.8667982'],['conf/wcre/2019'],['db/conf/wcre/saner2019.html#PizzolottoFC19'],inproceedings
"['David Wille', 'Sandro Schulze', 'Christoph Seidl 0001', 'Ina Schaefer']",Custom-Tailored Variability Mining for Block-Based Languages.,['271-282'],2016,SANER,"['https://doi.org/10.1109/SANER.2016.13', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2016.13']",['conf/wcre/2016'],['db/conf/wcre/saner2016.html#WilleSSS16'],inproceedings
"['Md Yasser Karim', 'Huzefa H. Kagdi', 'Massimiliano Di Penta']",Mining Android Apps to Recommend Permissions.,['427-437'],2016,SANER,"['https://doi.org/10.1109/SANER.2016.74', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2016.74']",['conf/wcre/2016'],['db/conf/wcre/saner2016.html#KarimKP16'],inproceedings
['George Ganea'],Hindsight: Revealing the evolution of dependencies to developers.,['511-515'],2017,SANER,"['https://doi.org/10.1109/SANER.2017.7884664', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2017.7884664']",['conf/wcre/2017'],['db/conf/wcre/saner2017.html#Ganea17'],inproceedings
"['Sebastian Herold', 'Michael English', 'Jim Buckley', 'Steve Counsell', 'Mel Ó Cinnéide']",Detection of violation causes in reflexion models.,['565-569'],2015,SANER,"['https://doi.org/10.1109/SANER.2015.7081878', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2015.7081878']",['conf/wcre/2015'],['db/conf/wcre/saner2015.html#HeroldEBCC15'],inproceedings
"['Tosin Daniel Oyetoyan', 'Jean-Rémy Falleri', 'Jens Dietrich 0001', 'Kamil Jezek']",Circular dependencies and change-proneness: An empirical study.,['241-250'],2015,SANER,"['https://doi.org/10.1109/SANER.2015.7081834', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2015.7081834']",['conf/wcre/2015'],['db/conf/wcre/saner2015.html#OyetoyanFDJ15'],inproceedings
"['Marco Couto 0001', 'João Saraiva', 'João Paulo Fernandes']",Energy Refactorings for Android in the Large and in the Wild.,['217-228'],2020,SANER,['https://doi.org/10.1109/SANER48275.2020.9054858'],['conf/wcre/2020'],['db/conf/wcre/saner2020.html#0001SF20'],inproceedings
"['Felipe Ebert', 'Fernando Castor', 'Alexander Serebrenik']","A Reflection on ""An Exploratory Study on Exception Handling Bugs in Java Programs"".",['552-556'],2020,SANER,['https://doi.org/10.1109/SANER48275.2020.9054791'],['conf/wcre/2020'],['db/conf/wcre/saner2020.html#EbertCS20'],inproceedings
"['Yun Zhang 0011', 'David Lo 0001', 'Pavneet Singh Kochhar', 'Xin Xia 0001', 'Quanlai Li', 'Jianling Sun']",Detecting similar repositories on GitHub.,['13-23'],2017,SANER,"['https://doi.org/10.1109/SANER.2017.7884605', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2017.7884605']",['conf/wcre/2017'],['db/conf/wcre/saner2017.html#ZhangLKXLS17'],inproceedings
"['Lorena Arcega', 'Jaime Font', 'Øystein Haugen', 'Carlos Cetina']",Achieving Knowledge Evolution in Dynamic Software Product Lines.,['505-516'],2016,SANER,"['https://doi.org/10.1109/SANER.2016.24', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2016.24']",['conf/wcre/2016'],['db/conf/wcre/saner2016.html#ArcegaFHC16'],inproceedings
"['Fabio Palomba', 'Dario Di Nucci', 'Annibale Panichella', 'Andy Zaidman', 'Andrea De Lucia']",Lightweight detection of Android-specific code smells: The aDoctor project.,['487-491'],2017,SANER,"['https://doi.org/10.1109/SANER.2017.7884659', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2017.7884659']",['conf/wcre/2017'],['db/conf/wcre/saner2017.html#PalombaNPZL17'],inproceedings
"['Yuan Tian 0008', 'David Lo 0001']",A comparative study on the effectiveness of part-of-speech tagging techniques on bug reports.,['570-574'],2015,SANER,"['https://doi.org/10.1109/SANER.2015.7081879', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2015.7081879']",['conf/wcre/2015'],['db/conf/wcre/saner2015.html#TianL15'],inproceedings
"['Nathan Cassee', 'Bogdan Vasilescu', 'Alexander Serebrenik']",The Silent Helper: The Impact of Continuous Integration on Code Reviews.,['423-434'],2020,SANER,['https://doi.org/10.1109/SANER48275.2020.9054818'],['conf/wcre/2020'],['db/conf/wcre/saner2020.html#CasseeVS20'],inproceedings
"['Jonathan A. Saddler', 'Cole S. Peterson', 'Sanjana Sama', 'Shruthi Nagaraj', 'Olga Baysal', 'Latifa Guerrouj', 'Bonita Sharif']",Studying Developer Reading Behavior on Stack Overflow during API Summarization Tasks.,['195-205'],2020,SANER,['https://doi.org/10.1109/SANER48275.2020.9054848'],['conf/wcre/2020'],['db/conf/wcre/saner2020.html#SaddlerPSNBGS20'],inproceedings
"['Lingfeng Bao', 'Jing Li 0034', 'Zhenchang Xing', 'Xinyu Wang 0001', 'Bo Zhou 0010']",Reverse engineering time-series interaction data from screen-captured videos.,['399-408'],2015,SANER,"['https://doi.org/10.1109/SANER.2015.7081850', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2015.7081850']",['conf/wcre/2015'],['db/conf/wcre/saner2015.html#BaoLXWZ15'],inproceedings
"['Kijin An', 'Eli Tilevich']",D-Goldilocks: Automatic Redistribution of Remote Functionalities for Performance and Efficiency.,['251-260'],2020,SANER,['https://doi.org/10.1109/SANER48275.2020.9054870'],['conf/wcre/2020'],['db/conf/wcre/saner2020.html#AnT20'],inproceedings
